id;Biolog;Carbon;Nitrogen;Outros;Sulfate;Grp1;Grp2;Grp3;Grp4;Grp5
rxn05319_c0;-103,8218533;-19,21375444;-13,5075;-83,16503182;-85,61917882;-26,33331667;18,0277;1,40026305;-99,44909236;-196,4852
rxn05209_c0;-22,367754;-10,71777333;-7,52222;-56,93104182;-47,95638918;-3,548373333;-5,11414;2,89575485;-55,11424344;-223,0833
rxn00102_c0;-9,522433333;;-0,460094;;;;16,6618;-0,52457;;
rxn05467_c0;-9,053900733;-4,416427667;-2,34222;-50,99823318;-15,55533682;-1,147794;7,93271;-2,612807;-18,11748548;-255,0085
rxn00459_c0;-7,001833;7,84256;6,55319;;;0,045145556;6,55319;8,83860092;43,53587344;
rxn01100_c0;-6,922879333;;-10,3141;;-64,93026765;;;7,23771824;-71,66499554;-111,53475
rxn00777_c0;-2,136516233;-0,817272778;-0,53397;;;-0,347061889;-0,363031;1,402398;;-6,55867
rxn05488_c0;-2,0549167;;-0,53397;;-3,495443882;;;15,552231;-4,098964777;-34,3898
rxn01116_c0;-1,5505137;;;;;;;-5,2775615;;
rxn01200_c0;-1,1973127;;;;;;;4,1916173;;9,27707
rxn00558_c0;-0,703873257;5,148009289;4,32797;22,9904252;27,22472153;0,2193627;4,32797;0,7248809;29,46584172;45,33475
rxn10126_c0;0;0;0;0;0;0;0;-1,0940827;0;0
rxn09272_c0;0,011516467;1,072038889;0;3,387190909;0,219171176;1,110427111;0;1,0940827;0,474638217;0
rxn00288_c0;0,496670533;0;0;0;0;0,044722;0;9,36591855;0;0
rxn08527_c0;1,058179267;0,555555556;0;0,184985273;0;0,644999556;0,436308;0,98247185;0;0
rxn01333_c0;1,1973127;;;;;;;1,6269456;;-9,27707
rxnbio1;1,986322067;0,847509333;0,59482;4,587479727;3,792158706;0,280588111;0,677981;1,0690674;4,358167134;
rxn00173_c0;2,655743767;;;;;;;;;
rxn00785_c0;2,747824233;;;;;;;;;
rxnbio2;3,753761667;0;0;0,460098182;0;7,319488889;19,7289;1,6034815;0;
rxn01106_c0;7,001833;-7,84256;-6,55319;;;-0,045145556;2,50602;-4,1916173;-43,53587344;
rxn00251_c0;11,38750327;-1,155615111;-1,24442;21,54867485;;0,630360778;2,85796;-5,5509195;;128,66485
rxn05468_c0;22,41015149;9,831703333;6,53282;47,14331636;41,71267153;3,15712;6,53282;-1,402398;48,58410459;184,4642
n;30;9;84;11;170;9;116;20;157;2
rxn00199_c0;;;;;;;;;;19,03217
rxn00225_c0;;;-0,53397;;-3,495443882;;;-8,79637;;-34,3898
rxn00248_c0;;;;;;;;-101,3490045;;194,82335
rxn00250_c0;;;0,460094;;;;;;;
rxn00256_c0;;;-0,641752;;-4,091354271;;;;-4,702019949;-19,03217
rxn00505_c0;;;0,641752;;;;;;;
rxn00543_c0;;;;;;;;-3,471042;;
rxn00545_c0;;;3,75183;;;;;;;9,69427
rxn00548_c0;;;0,53397;;3,449833353;;;;3,281721465;25,112805
rxn00604_c0;;;0,55009;;3,507989882;;;;;6,55867
rxn00747_c0;;;-3,75183;;;;;;;-9,69427
rxn00781_c0;;;10,3141;;64,93026765;;;;71,66499554;111,53475
rxn00786_c0;;;3,75183;;;;;;;9,69427
rxn00799_c0;;;;;;;;;;-194,82335
rxn00973_c0;;;0,641752;;4,091354271;;;;4,702019949;19,03217
rxn01115_c0;;;0,53397;;;;;;;6,55867
rxn01187_c0;;;;;;;;;;9,27707
rxn01387_c0;;;;;;;;;;19,03217
rxn01476_c0;;;0,55009;;3,507989882;;;;;6,55867
rxn01477_c0;;;0,0161196;;;;;;;
rxn03884_c0;;;0,0161196;;;;;;;
rxn05226_c0;;;5;;31,51008294;;;;;55,50975
rxn05313_c0;;3,572591778;2,50741;;15,98546341;1,182790778;2,85796;;18,37141408;74,3611
rxn05553_c0;;;;;;;;0;;
rxn05561_c0;;;;;;;;;;194,82335
rxn05938_c0;;-4,259116667;-2,87102;;-18,30357271;;;;-21,80033643;-85,14445
rxn07191_c0;;-4,079731222;-2,87102;;-18,30357271;-1,262247778;;;-21,60925363;-85,14445
rxn08173_c0;;30,37652667;20,5023;;130,8689024;;;;152,4987025;621,946
rxn08971_c0;;;;;;;;0;;
rxn10122_c0;;18,59135444;13,0656;;83,20616647;;;;96,69355796;368,9285
